pos,pos_o,vel,vel_o,ang,ang_o,vel_ang,vel_ang_o
0.16407,0.16674,-0.034299,-0.40932,0.030453,0.079065,0.017709,0.021697
0.1723,0.16948,0.41159,-0.40807,0.038921,0.079354,0.032977,0.021731
0.17162,0.17105,-0.034299,-0.41318,0.041653,0.079641,-0.043359,0.023476
0.1723,0.17232,0.034299,-0.41749,0.042898,0.079962,-0.058626,0.02583
0.1723,0.17312,0,-0.41611,0.042068,0.08033,0.017709,0.0258
0.1723,0.17359,0,-0.41384,0.039989,0.080697,-0.073894,0.023888
0.1723,0.17384,0,-0.41929,0.037244,0.081025,-0.012825,0.024491
0.17162,0.17366,-0.034299,-0.41208,0.033101,0.081366,0.032977,0.020735
0.17162,0.17347,0,-0.41438,0.029385,0.081632,-0.089161,0.018877
0.1723,0.17355,0.034299,-0.4165,0.027195,0.08186,-0.012825,0.018194
0.17162,0.17329,-0.034299,-0.41431,0.023861,0.082074,-0.043359,0.016264
0.16407,0.1701,-0.37729,-0.41481,0.0090598,0.082249,-0.10443,0.014915
0.17162,0.17083,0.37729,-0.41267,0.011842,0.082399,0.063511,0.012728
0.17162,0.17132,0,-0.41711,0.013383,0.082504,-0.058626,0.013205
0.17162,0.17166,0,-0.41197,0.014071,0.082619,-0.028092,0.010844
0.17162,0.17187,0,-0.40989,0.014203,0.082689,0.032977,0.0082641
0.1723,0.17227,0.034299,-0.40899,0.015074,0.082706,-0.058626,0.0062086
0.17162,0.17227,-0.034299,-0.41032,0.014186,0.082683,-0.028092,0.0056139
0.1723,0.17252,0.034299,-0.40558,0.014421,0.082648,-0.073894,0.0031216
0.17162,0.1724,-0.034299,-0.40232,0.013156,0.082565,-0.028092,0.00025833
0.17162,0.17231,0,-0.40314,0.012117,0.082424,-0.058626,-0.00080991
0.1723,0.1725,0.034299,-0.4017,0.012353,0.082263,-0.012825,-0.00177
0.1723,0.17262,0,-0.40425,0.012282,0.082082,-0.043359,-0.00076381
0.17162,0.17242,-0.034299,-0.40035,0.010924,0.081921,-0.028092,-0.0015873
0.1723,0.17255,0.034299,-0.39917,0.011014,0.081745,-0.089161,-0.0022435
0.1723,0.17262,0,-0.4022,0.010913,0.081555,0.048244,-0.00080507
0.17162,0.1724,-0.034299,-0.40439,0.0096082,0.081393,-0.058626,0.0014737
0.1723,0.1725,0.034299,-0.40585,0.0098006,0.081276,-0.028092,0.0038227
0.17162,0.1723,-0.034299,-0.40546,0.0087262,0.081207,0.032977,0.0052553
