ref,pos_o,vel_o,ang_o,vel_ang_o
-0.1,-0.098049,-0.037534,-1.3291,0.099784
-0.1,-0.096838,-0.025473,-1.3269,0.11036
-0.1,-0.10015,-0.033526,-1.3245,1.5517
-0.1,-0.10098,-0.030512,-1.2933,0.59983
-0.1,-0.10062,-0.02311,-1.2811,0.0067446
-0.1,-0.099714,-0.014366,-1.2808,0.45815
-0.1,-0.10276,-0.02253,-1.2714,1.8244
-0.1,-0.10369,-0.021428,-1.2348,0.79201
-0.1,-0.10798,-0.034479,-1.2187,-0.13545
-0.1,-0.10576,-0.019324,-1.2212,-3.1675
-0.1,-0.10763,-0.021919,-1.2844,-2.5887
-0.1,-0.10775,-0.016697,-1.3361,-2.8036
-0.1,-0.10774,-0.010872,-1.3922,-2.1783
-0.1,-0.11138,-0.020384,-1.4357,-1.1015
-0.1,-0.10894,-0.00419,-1.4577,-2.4184
-0.1,-0.10713,0.0075809,-1.506,-0.82673
-0.1,-0.10525,0.018261,-1.5224,1.8026
-0.1,-0.10413,0.024078,-1.4862,4.7039
-0.1,-0.10814,0.0074815,-1.3919,6.8022
-0.1,-0.10632,0.01561,-1.2555,4.6415
-0.1,-0.10504,0.020115,-1.1624,4.2212
-0.1,-0.10768,0.0080235,-1.0776,4.4199
-0.1,-0.10953,0.00048796,-0.9889,2.2869
-0.1,-0.11109,-0.0049916,-0.94289,-0.45329
-0.1,-0.1119,-0.0063411,-0.95177,-2.9986
-0.1,-0.11273,-0.0067549,-1.0117,-4.5799
-0.1,-0.11299,-0.0040992,-1.1032,-5.4079
-0.1,-0.11338,-0.0017271,-1.2114,-5.3198
-0.1,-0.1133,0.0026728,-1.3179,-4.7716
-0.1,-0.11344,0.0061357,-1.4133,-3.6478
-0.1,-0.11319,0.01105,-1.4863,-2.4467
-0.1,-0.11319,0.014227,-1.5353,-1.1025
-0.1,-0.11285,0.018314,-1.5573,0.00025197
-0.1,-0.11255,0.021623,-1.5572,1.0716
-0.1,-0.11229,0.024082,-1.5357,1.9275
-0.1,-0.11207,0.025847,-1.497,2.5246
-0.1,-0.1119,0.026941,-1.4464,2.8314
-0.1,-0.11177,0.027452,-1.3896,2.8691
-0.1,-0.11167,0.027485,-1.332,2.6817
-0.1,-0.11162,0.027295,-1.2783,2.3587
-0.1,-0.11186,0.025873,-1.2309,1.9439
-0.1,-0.11178,0.025938,-1.1919,1.3
-0.1,-0.11199,0.02473,-1.1658,0.79932
-0.1,-0.11215,0.023883,-1.1497,0.20872
-0.1,-0.11227,0.023291,-1.1454,-0.34678
-0.1,-0.11208,0.023952,-1.1523,-0.81155
-0.1,-0.11249,0.022124,-1.1684,-0.96942
-0.1,-0.11224,0.023198,-1.1877,-1.3495
-0.1,-0.11206,0.023897,-1.2145,-1.3516
-0.1,-0.11086,0.028704,-1.2415,-1.1902
-0.1,-0.1095,0.03364,-1.2651,-0.25374
-0.1,-0.10911,0.034122,-1.2701,1.1667
-0.1,-0.10859,0.034991,-1.2466,2.0449
-0.1,-0.10851,0.03371,-1.2055,2.5856
-0.1,-0.10822,0.03324,-1.1537,2.5517
-0.1,-0.10806,0.032258,-1.1025,2.3544
-0.1,-0.10825,0.0299,-1.0552,1.9878
-0.1,-0.10815,0.028964,-1.0153,1.307
-0.1,-0.10812,0.027844,-0.98907,0.70432
-0.1,-0.10839,0.025609,-0.97487,0.16596
-0.1,-0.1086,0.023879,-0.97145,-0.49822
-0.1,-0.10903,0.021446,-0.9813,-1.1308
-0.1,-0.10908,0.02092,-1.0038,-1.8244
-0.1,-0.10884,0.021653,-1.0402,-2.2056
-0.1,-0.10869,0.022217,-1.0842,-2.139
-0.1,-0.10887,0.021758,-1.127,-1.8233
-0.1,-0.10903,0.022461,-1.1635,-1.4399
-0.1,-0.10914,0.024123,-1.1924,-0.95518
-0.1,-0.1092,0.026349,-1.2118,-0.40952
-0.1,-0.11023,0.023684,-1.2201,-0.030863
-0.1,-0.11088,0.022208,-1.2207,-0.53533
-0.1,-0.11157,0.020621,-1.2315,-1.2072
-0.1,-0.11201,0.020007,-1.2556,-1.9777
-0.1,-0.11093,0.025451,-1.2951,-2.5801
-0.1,-0.1099,0.030188,-1.3466,-1.966
-0.1,-0.10918,0.03322,-1.3859,-0.7385
-0.1,-0.10867,0.034996,-1.4006,0.50376
-0.1,-0.10858,0.034671,-1.3904,1.4591
-0.1,-0.10826,0.035128,-1.3611,1.8469
-0.1,-0.10831,0.033663,-1.324,1.9865
-0.1,-0.10837,0.03211,-1.2841,1.6952
-0.1,-0.10844,0.03075,-1.25,1.2225
-0.1,-0.10825,0.030634,-1.2255,0.66895
-0.1,-0.10841,0.029093,-1.2119,0.29454
-0.1,-0.10854,0.027867,-1.2059,-0.17568
-0.1,-0.10837,0.027937,-1.2093,-0.64883
-0.1,-0.10827,0.027837,-1.2222,-0.84807
-0.1,-0.10821,0.027626,-1.239,-0.92032
-0.1,-0.10845,0.02624,-1.2573,-0.94408
-0.1,-0.10835,0.026371,-1.2761,-1.1353
-0.1,-0.10855,0.025308,-1.2986,-1.1569
-0.1,-0.10869,0.024621,-1.3216,-1.2915
-0.1,-0.10853,0.02533,-1.3473,-1.4223
-0.1,-0.10868,0.024723,-1.3756,-1.3134
-0.1,-0.10878,0.024354,-1.4017,-1.3103
-0.1,-0.10884,0.024212,-1.4278,-1.3132
-0.1,-0.10889,0.024396,-1.4539,-1.2499
-0.1,-0.10895,0.025243,-1.4788,-1.0242
-0.1,-0.10899,0.026681,-1.4993,-0.66641
-0.1,-0.10872,0.029346,-1.5127,-0.29332
-0.1,-0.10876,0.030266,-1.5186,0.21105
-0.1,-0.1085,0.032335,-1.5143,0.54193
-0.1,-0.10857,0.032828,-1.5035,0.94156
-0.1,-0.10832,0.034367,-1.4846,1.0753
-0.1,-0.10814,0.035359,-1.4631,1.2403
-0.1,-0.10828,0.034748,-1.4383,1.3239
-0.1,-0.10809,0.03514,-1.4117,1.0765
-0.1,-0.10823,0.033975,-1.3901,0.8787
-0.1,-0.10861,0.03202,-1.3724,0.52269
-0.1,-0.10862,0.031832,-1.3619,-0.06112
-0.1,-0.10864,0.031885,-1.3631,-0.40966
-0.1,-0.10866,0.032106,-1.3713,-0.59767
-0.1,-0.1084,0.033498,-1.3832,-0.68034
-0.1,-0.10821,0.034428,-1.3968,-0.51463
-0.1,-0.10835,0.03401,-1.4071,-0.25672
-0.1,-0.10844,0.033872,-1.4122,-0.19155
-0.1,-0.1085,0.033889,-1.416,-0.21694
-0.1,-0.10854,0.034012,-1.4204,-0.26804
-0.1,-0.10856,0.034209,-1.4257,-0.31193
-0.1,-0.10829,0.035512,-1.432,-0.34525
-0.1,-0.10838,0.035261,-1.4389,-0.17905
-0.1,-0.10816,0.036239,-1.4424,-0.15339
-0.1,-0.10828,0.03574,-1.4455,-0.010823
-0.1,-0.10809,0.036543,-1.4457,-0.041694
-0.1,-0.10823,0.035909,-1.4465,0.033318
-0.1,-0.10806,0.036597,-1.4458,-0.063389
-0.1,-0.10821,0.035891,-1.447,-0.037846
-0.1,-0.10831,0.035432,-1.4478,-0.17105
-0.1,-0.10838,0.035148,-1.4512,-0.3524
-0.1,-0.10816,0.036078,-1.4582,-0.52374
-0.1,-0.10828,0.035529,-1.4686,-0.47724
-0.1,-0.10836,0.035186,-1.4781,-0.54043
-0.1,-0.10841,0.034999,-1.4889,-0.6319
-0.1,-0.10818,0.036001,-1.5015,-0.7159
-0.1,-0.10802,0.036631,-1.5158,-0.58446
-0.1,-0.10817,0.03592,-1.5274,-0.38933
-0.1,-0.10828,0.035497,-1.5351,-0.39368
-0.1,-0.10835,0.035254,-1.543,-0.48145
-0.1,-0.10813,0.036222,-1.5525,-0.58552
-0.1,-0.10798,0.036818,-1.5642,-0.48621
-0.1,-0.10787,0.037155,-1.5738,-0.32726
-0.1,-0.10807,0.036219,-1.5803,-0.18238
-0.1,-0.1082,0.035632,-1.5839,-0.26464
-0.1,-0.1083,0.035276,-1.5891,-0.43059
-0.1,-0.10836,0.035072,-1.5976,-0.60289
-0.1,-0.1084,0.034987,-1.6096,-0.73918
-0.1,-0.10816,0.036066,-1.6243,-0.82985
-0.1,-0.10825,0.035633,-1.6408,-0.69218
-0.1,-0.10832,0.035387,-1.6546,-0.66747
-0.1,-0.10836,0.035273,-1.6678,-0.68467
-0.1,-0.10839,0.03527,-1.6814,-0.70283
-0.1,-0.10814,0.03646,-1.6954,-0.70075
-0.1,-0.10827,0.036739,-1.7094,-0.3523
-0.1,-0.1081,0.038923,-1.7165,-0.012968
-0.1,-0.10822,0.039739,-1.7168,0.42956
-0.1,-0.108,0.041601,-1.7083,0.61949
-0.1,-0.1081,0.042,-1.696,0.9108
-0.1,-0.10816,0.042585,-1.6778,1.0093
-0.1,-0.10818,0.043055,-1.6577,0.96105
-0.1,-0.10791,0.044543,-1.6386,0.85439
-0.1,-0.10798,0.044432,-1.6215,0.91457
-0.1,-0.10749,0.046492,-1.6033,0.78985
-0.1,-0.10768,0.045404,-1.5875,0.94503
-0.1,-0.10782,0.044586,-1.5687,0.76442
-0.1,-0.10792,0.043821,-1.5534,0.40687
-0.1,-0.10798,0.04296,-1.5452,-0.03462
0.1,-0.10803,0.042245,-1.5459,-0.42654
0.1,-0.10808,0.041666,-1.5544,-1.6313
0.1,-0.10787,0.042637,-1.5871,-3.1474
0.1,-0.10776,0.043963,-1.6502,-4.4391
0.1,-0.10768,0.045681,-1.7392,-5.5317
0.1,-0.1076,0.047423,-1.85,-6.5111
0.1,-0.10751,0.049175,-1.9804,-7.3543
0.1,-0.10743,0.051357,-2.1277,-7.9509
0.1,-0.10762,0.052915,-2.2869,-8.3167
0.1,-0.10743,0.056142,-2.4535,-8.7416
0.1,-0.10753,0.058579,-2.6286,-8.8079
0.1,-0.10755,0.061713,-2.805,-8.8389
0.1,-0.10722,0.066245,-2.9821,-8.8138
0.1,-0.10853,0.063834,-3.1586,-8.5474
0.1,-0.10936,0.063912,-3.3297,-9.2895
0.1,-0.10959,0.0669,-3.5157,-10.173
0.1,-0.10995,0.069589,-3.7193,-10.627
0.1,-0.11011,0.073493,-3.932,-10.802
